To me  there is something superbly symbolic in the fact that an astronaut  sent up as assistant to a series of computers  found that he worked more accurately and more intelligently than they. Inside the capsule  man is still in charge.;Adlai Stevenson;computers                  5,,,,,,,,,281
Really  I have to laugh because there was a whole set of stories that made me sound like the Dragon Lady  you know  'tough this and tough that.' Then there is this business about 'gooey.' The bottom line is I am a pragmatic idealist.;Madeleine Albright;business                   6,,,,,,,,,281
I mean  I kind of remember... I'm 36 now  so it's kind of hard for me to relate to what it was like when I was 25  or 24  but I do remember a period in time when that's how I defined who I was  by the music I listened to and the movies I went to.;Liz Phair;movies                 6,,,,,,,,,281
In fact  technology has been the story of human progress from as long back as we know. In 100 years people will look back on now and say  'That was the Internet Age.' And computers will be seen as a mere ingredient to the Internet Age.;Reed Hastings;technology                    7,,,,,,,,,281
As a mom  I know it is my responsibility  and no one else's  to raise my kids. But we have to ask ourselves  what does it mean when so many parents are finding their best efforts undermined by an avalanche of advertisements aimed at our kids.;Michelle Obama;best                  8,,,,,,,,,281
Ultimately  all human activities have as their goal the realization of happiness. Why  then  have we ended up producing the opposite result? Could the underlying cause be our failure to correctly understand the true nature of happiness?;Daisaku Ikeda;happiness                   10,,,,,,,,,281
As a father  my first priority is to help my sons set and attain personal goals so they will develop self-confidence and individual strength. Engaging in regular fitness activities with my children helps me fulfill those responsibilities.;Alan Thicke;fitness                     11,,,,,,,,,281
When I sing  I feel like when you're first in love. It's more than sex. It's that point two people can get to they call love  when you really touch someone for the first time  but it's gigantic  multiplied by the whole audience. I feel chills.;Janis Joplin;love                  11,,,,,,,,,281
One morning  about four o'clock  I was driving my car just about as fast as I could. I thought  Why am I out this time of night? I was miserable  and it came to me: I'm falling in love with somebody I have no right to fall in love with.;June Carter Cash;morning                  11,,,,,,,,,281
When I sing  I feel like when you're first in love. It's more than sex. It's that point two people can get to they call love  when you really touch someone for the first time  but it's gigantic  multiplied by the whole audience. I feel chills.;Janis Joplin;time                  11,,,,,,,,,281
In my family  there was one cardinal priority - education. College was not an option it was mandatory. So even though we didn't have a lot of money  we made it work. I signed up for financial aid  Pell Grants  work study  anything I could.;Eva Longoria;education                 12,,,,,,,,,281
Modern science  then  so far from being an enemy of romance  is seen on every hand to be its sympathetic and resourceful friend  its swift and irresistible helper in its serious need  and an indulgent minister to its lighter fancies.;Richard Le Gallienne;science                 14,,,,,,,,,281
The work of art  just like any fragment of human life considered in its deepest meaning  seems to me devoid of value if it does not offer the hardness  the rigidity  the regularity  the luster on every interior and exterior facet  of the crystal.;Pope Paul VI;art                15,,,,,,,,,281
Back in the '70s  like one of my favorite movies ever was 'The Bad News Bears'  and that was a kids' movie  but I don't think of it that way. I think of it as just a great movie because Walter Matthau was so funny and so harsh with those kids.;Jack Black;funny                   16,,,,,,,,,281
I don't know why  it's the same reason why you like some music and you don't like others. There's something about it that you like. Ultimately I don't find it's in my best interests to try and analyze it  since it's fundamentally emotional.;Jerry Garcia;music                    16,,,,,,,,,281
Becoming a father  I think it inevitably changes your perspective of life. I don't get nearly enough sleep. And the simplest things in life are completely satisfying. I find you don't have to do as much  like you don't go on as many outings.;Hugh Jackman;life                    17,,,,,,,,,281
When you're young  with less on the line  it's easier to be audacious  to experiment. So I introduced the concerns of my generation - politics  sex  drugs  rock-and-roll  etc. - to the comics page  which for many years caused a rolling furor.;Garry Trudeau;politics              17,,,,,,,,,281
